sep=';'
duration, ns;size;Container type;Optional message
584458;100000;deque;
2074667;100000;list;
1167417;200000;deque;
4468667;200000;list;
1757084;300000;deque;
7421792;300000;list;
2350958;400000;deque;
9847334;400000;list;
2921334;500000;deque;
12205541;500000;list;
3568333;600000;deque;
14356250;600000;list;
4087500;700000;deque;
16396250;700000;list;
4721417;800000;deque;
18343875;800000;list;
5269042;900000;deque;
22122166;900000;list;
5841834;1000000;deque;
24659375;1000000;list;
